"name","county","town","category_guess","address","phone","website","email","google_rating","review_count","business_status","contact_source","google_maps_url","place_id","contact_quality","discovery_score","notes","ready_for_import","flag_reason","official_email","official_phone","whatsapp_number","facebook_url","contact_page","principal_name","deputy_name","ict_contact","admissions_contact","email_source","phone_source","website_source","facebook_source","contact_confidence","last_verified"
"Blessed Small Angels Academy","Kirinyaga","Sagana","Academy","77Q4+GRG, Rukanga, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJs1x-GgCfKBgRoX5WVucmslU","ChIJs1x-GgCfKBgRoX5WVucmslU","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Brenda School","Kirinyaga","Baricho","Unknown","F62R+83C, Baricho, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ6afDRMSDKBgRwq-4M_DYKCs","ChIJ6afDRMSDKBgRwq-4M_DYKCs","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Bridge International Academy - Baricho","Kirinyaga","Baricho","Academy","Sagana Karatina Road, Kenya","+254 700 600683","http://www.bridgeinternationalacademies.com/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ60QkO8CDKBgR3zrod-DvrvU","ChIJ60QkO8CDKBgR3zrod-DvrvU","Medium","40","Website unreachable","FALSE","shares website with: Bridge International Academy - Kutus, Bridge International Academy - Ndorome (verify: real duplicate vs. legitimate multi-branch chain); missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Bridge International Academy - Kutus","Kirinyaga","Kutus","Academy","C8FC+W8M, Kutus, Kenya","+254 727 128057","http://www.bridgeinternationalacademies.com/","info@bridgeinternationalacademies.com","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ-ZiUW0goJhgRgyTGQ-LhAx0","ChIJ-ZiUW0goJhgRgyTGQ-LhAx0","High","60","Email inferred","FALSE","shares website with: Bridge International Academy - Baricho, Bridge International Academy - Ndorome (verify: real duplicate vs. legitimate multi-branch chain)","info@bridgeinternationalacademies.com","","","http://www.facebook.com/bridgeinternationalacademies/","","","","","","official_website:http://www.bridgeinternationalacademies.com","","http://www.bridgeinternationalacademies.com","official_website:http://www.bridgeinternationalacademies.com","Verified","2026-07-22"
"Bridge International Academy - Ndorome","Kirinyaga","Wanguru","Academy","88RH+8RP, Wang'uru, Kenya","+254 716 058526","http://www.bridgeinternationalacademies.com","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJN-PdOy0nJhgRre103Kwu5C8","ChIJN-PdOy0nJhgRre103Kwu5C8","Medium","40","Website unreachable","FALSE","shares website with: Bridge International Academy - Baricho, Bridge International Academy - Kutus (verify: real duplicate vs. legitimate multi-branch chain); missing email","info@bridgeinternationalacademies.com","","","http://www.facebook.com/bridgeinternationalacademies/","","","","","","official_website:http://www.bridgeinternationalacademies.com","","http://www.bridgeinternationalacademies.com","official_website:http://www.bridgeinternationalacademies.com","Medium","2026-07-22"
"Ciagiini mixed day secondary school","Kirinyaga","Wanguru","Mixed Day","8985+CFV, Wang'uru, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJgUsJCAAhJhgRkVNcApWnnI8","ChIJgUsJCAAhJhgRkVNcApWnnI8","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Co-op Kwa Jirani Kirinyaga Plains Academy Ltd","Kirinyaga","Wanguru","Academy","Main Street, Wanguru, Kenya","+254 722 317400","http://www.co-opbank.co.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJeQJTWQ0hJhgRp091VLJ-OO8","ChIJeQJTWQ0hJhgRp091VLJ-OO8","Medium","40","Website unreachable","FALSE","suspected website mismatch (school name not found in website domain — verify by hand); missing email","customerservice@co-opbank.co.ke","","254736690101","https://www.facebook.com/coopbankenya/","","","","","","official_website:http://www.co-opbank.co.ke/about","","http://www.co-opbank.co.ke/about; http://www.co-opbank.co.ke/about-us","official_website:http://www.co-opbank.co.ke/about","Medium","2026-07-22"
"Diplomat Academy","Kirinyaga","Kerugoya","Academy","Kerugoya, Kenya","+254 60 21540","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ9U1jGz2AKBgRtB3RzsZ4NPs","ChIJ9U1jGz2AKBgRtB3RzsZ4NPs","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Double blessing Academy","Kirinyaga","Wanguru","Academy","882R+PRX, Wang'uru, Kenya","+254 721 300914","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJB9HfCwAhJhgROhViMw5dRUg","ChIJB9HfCwAhJhgROhViMw5dRUg","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Dr. Babla Girls","Kirinyaga","Kagio","Girls","P.O Box 126-10306, Kagio, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJpREKalmdKBgRxd30sQhJ-Us","ChIJpREKalmdKBgRxd30sQhJ-Us","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Edinburgh School","Kirinyaga","Kagio","Unknown","74MW+W8G, Murang'a, Kenya","+254 20 7850041","","","4.3","24","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJhTEjPA2YKBgReorAILu7ZGc","ChIJhTEjPA2YKBgReorAILu7ZGc","Low","60","No website","FALSE","address/name references Murang County, not Kirinyaga; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Effort Boys Senior School","Kirinyaga","Kutus","Boys","Rware Kerugoya, Kutus- Kerugoya Rd, Nyeri, Kenya","+254 20 3525831","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJPf45TwoqJhgRLPA8u0L1SlY","ChIJPf45TwoqJhgRLPA8u0L1SlY","Low","20","No website; Currently closed (per Google)","FALSE","address/name references Nyeri County, not Kirinyaga; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Effort Junior Academy","Kirinyaga","Kerugoya","Junior Secondary","Kerugoya, Kenya","","http://effortschools.co.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJe12aKUiAKBgR76nPbv-MJN8","ChIJe12aKUiAKBgR76nPbv-MJN8","Low","20","Website unreachable; Phone missing","FALSE","missing phone; missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"El Shaddai Academy","Kirinyaga","Kagio","Academy","Kiandai Village, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJS5LPjkCDKBgRODoqsPLporo","ChIJS5LPjkCDKBgRODoqsPLporo","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Embu County Mixed Secondary School","Kirinyaga","Mwea","Mixed Day","P.O Box 176, FF43+W45, Embu, Kenya","+254 705 510544","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ4-4R9wsuJhgRE0RkLDMW4nI","ChIJ4-4R9wsuJhgRE0RkLDMW4nI","Low","20","No website; Currently closed (per Google)","FALSE","address/name references Embu County, not Kirinyaga; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Eramah Girls School.","Kirinyaga","Sagana","Girls","Kabuta area, along Murang'a - Sagana, Murang'a, Kenya","+254 791 264416","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJextUwAGZKBgRrQfj8jZYD3w","ChIJextUwAGZKBgRrQfj8jZYD3w","Low","20","No website; Currently closed (per Google)","FALSE","address/name references Murang County, not Kirinyaga; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"EXCEL ACADEMY ,MWEA","Kirinyaga","Wanguru","Academy","89V9+2XR, Wang'uru, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ23j3LQAnJhgRNJ1DCGdnluI","ChIJ23j3LQAnJhgRNJ1DCGdnluI","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Facing Mt Kenya High School","Kirinyaga","Kerugoya","Public Secondary","Kaitheri, Kerugoya, Kenya","+254 701 805894","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJVVyqMtKBKBgRi6cuFAR_XWI","ChIJVVyqMtKBKBgRi6cuFAR_XWI","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Fountain School Mwea","Kirinyaga","Wanguru","Unknown","Wang'uru, Kenya","+254 706 552277","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJF9IdSHUhJhgR9kFEsUy3GIc","ChIJF9IdSHUhJhgR9kFEsUy3GIc","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"GACHARU MIXED DAY SECONDARY SCHOOL","Kirinyaga","Sagana","Mixed Day","Gacharu, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJUSa0YgCbKBgRyT9VEwsYDe0","ChIJUSa0YgCbKBgRyT9VEwsYDe0","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Gakindu Secondary School","Kirinyaga","Sagana","Public Secondary","86PG+542, Unnamed Road, Sagana, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJg-ClAtufKBgR1ULgpp8YVGQ","ChIJg-ClAtufKBgR1ULgpp8YVGQ","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Gakoigo Mixed Day Secondary School","Kirinyaga","Kerugoya","Mixed Day","P.O Box 62, Kiandieri-Gakoigo Road, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJZQcgndiBKBgRME6WW20xqu0","ChIJZQcgndiBKBgRME6WW20xqu0","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Gathigiriri Secondary school","Kirinyaga","Wanguru","Public Secondary","8C43+XQ9, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJjTtS1qYjJhgRogQ3ax0tKpM","ChIJjTtS1qYjJhgRogQ3ax0tKpM","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Gatunguru Boys High School","Kirinyaga","Wanguru","Boys","4R4V+P98, Kiriko, Kenya","+254 791 236547","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJN_zHLOvOKBgRs845cQSI7sI","ChIJN_zHLOvOKBgRs845cQSI7sI","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Gatunguru Secondary School","Kirinyaga","Wanguru","Public Secondary","P.O Box 946, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ45vA9awqJhgRU2Bkn5Lr-2U","ChIJ45vA9awqJhgRU2Bkn5Lr-2U","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Gatuto Mixed Day Secondary School","Kirinyaga","Kutus","Mixed Day","Gatuto Road, Kenya","+254 722 214826","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJpUSKOGgpJhgRrtDZbqdNWYM","ChIJpUSKOGgpJhgRrtDZbqdNWYM","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Getuya Mixed Secondary School","Kirinyaga","Baricho","Mixed Day","P.O Box 1124, F69G+RGV Getuya Mixed Secondary School, Baricho, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJRwA-jUSBKBgRqK2RkzI-UaA","ChIJRwA-jUSBKBgRqK2RkzI-UaA","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Glorious Shammah Academy","Kirinyaga","Kagio","Academy","97F3+399 Glorious Shammah Academy, C73, Kagio, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ9zO7O_6cKBgRfFVPYKHvBSQ","ChIJ9zO7O_6cKBgRfFVPYKHvBSQ","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Good Samaritan Secondary School","Kirinyaga","Wanguru","Public Secondary","789F+2J8, B6, Wamumu, Kenya","+254 727 640332","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJyeTVTpEfJhgRv1MljmjK1Hw","ChIJyeTVTpEfJhgRv1MljmjK1Hw","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Grace Winners Academy","Kirinyaga","Mwea","Academy","PI KARABA JUNCTION, Wamumu, Kenya","+254 722 230523","","","5","6","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJi7a5HIMfJhgRgA1skxzWG6s","ChIJi7a5HIMfJhgRgA1skxzWG6s","Low","40","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Grand Kago Academy","Kirinyaga","Kagio","Academy","Karatina, Kenya","+254 740 955203","","","4","2","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJoZInOrZiKBgRbvUaKvvdRu8","ChIJoZInOrZiKBgRbvUaKvvdRu8","Low","40","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Greenvine yard Academy","Kirinyaga","Kianyaga","Academy","F9P3+J7F, Kianyaga, Kenya","+254 746 148434","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJcdr1QCYrJhgRfu1U82-AgzM","ChIJcdr1QCYrJhgRfu1U82-AgzM","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Highcrest Preparatory School","Kirinyaga","Kagio","Academy","C73, Kenya","+254 726 026262","http://www.highcrestprep.com/","","4.9","8","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ5cQMnAOcKBgRH9lFypKczew","ChIJ5cQMnAOcKBgRH9lFypKczew","Medium","60","Website unreachable","FALSE","missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Hillview Academy","Kirinyaga","Baricho","Academy","Hillview Academy, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJTTfOF2uDKBgR1QOu_9DLy3M","ChIJTTfOF2uDKBgR1QOu_9DLy3M","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Jufred Primary School","Kirinyaga","Kagumo","Unknown","Kagumo, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJdTvKnTx-KBgRrSkUQVjLWaM","ChIJdTvKnTx-KBgRrSkUQVjLWaM","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","out of scope: primary school; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kaanyaga Secondary School","Kirinyaga","Kianyaga","Public Secondary","RWV7+J2P, Marimanti, Kenya","+254 721 265135","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJPzCun26cJxgRfmtNY7IBRf8","ChIJPzCun26cJxgRfmtNY7IBRf8","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kabare girls high school","Kirinyaga","Kerugoya","Girls","Gakoigo-Kabare Rd,Kerugoya Kirinyaga, Kenya","+254 720 043574","https://kabaregirls.sc.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJyY7r1ywrJhgRRXApX0U8tEY","ChIJyY7r1ywrJhgRRXApX0U8tEY","Medium","40","Website unreachable; Currently closed (per Google)","FALSE","missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagio Hospital","Kirinyaga","Kagio","Unknown","Ithanga Kutus-Sagana Road Gatanga, Kenya","+254 722 397741","","","3.2","13","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJVY35vlWcKBgRlYfvHrq8tKY","ChIJVY35vlWcKBgRlYfvHrq8tKY","Low","60","No website","FALSE","out of scope: hospital; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagio Mixed Secondary School","Kirinyaga","Kagio","Mixed Day","Kagio Mixed Secondary School, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJuWEa91OcKBgRNrnf8m47FzQ","ChIJuWEa91OcKBgRNrnf8m47FzQ","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagio Primary School","Kirinyaga","Kagio","Unknown","P.O Box 30, Kagio Primary School, Kenya","","","","","","","google_places","https://www.google.com/maps/place/?q=place_id:ChIJL81k-lOcKBgR1m0kF3KsivM","ChIJL81k-lOcKBgR1m0kF3KsivM","Unknown","0","No website; Phone missing","FALSE","out of scope: primary school; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagio Secondary School","Kirinyaga","Kagio","Public Secondary","968X+6FX, Kagio, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJbb1XWVGcKBgRwFhmsXoAq58","ChIJbb1XWVGcKBgRwFhmsXoAq58","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kaguma sec school","Kirinyaga","Kagumo","Unknown","Abothuguchi Central Cental Imenti, Kenya","+254 717 669836","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ1XIIbtn1JxgR6xSnSaUEeUE","ChIJ1XIIbtn1JxgR6xSnSaUEeUE","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagumo Central Academy","Kirinyaga","Kagumo","Academy","Kagumo, Kenya","","","","4.3","3","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ616SdCB-KBgRNcNsi7ItP6s","ChIJ616SdCB-KBgRNcNsi7ItP6s","Unknown","20","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagumo Day Secondary School","Kirinyaga","Kagumo","Mixed Day","JJMP+PG5, Karandini, Kenya","+254 729 829266","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJnYfMBh3IJxgREN1p7RKaeE4","ChIJnYfMBh3IJxgREN1p7RKaeE4","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagumo Girls Secondary School","Kirinyaga","Kagio","Girls","Kagumo-Mununga Road, Kenya","+254 727 154376","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJvVy01B5-KBgRCWjPvUwp2u0","ChIJvVy01B5-KBgRCWjPvUwp2u0","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagumo High School","Kirinyaga","Kagumo","Public Secondary","Rware, Kiganjo, Kenya","+254 725 867435","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJt7xE6MFmKBgRTT1OZR1o-Bo","ChIJt7xE6MFmKBgRTT1OZR1o-Bo","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kagumo Secondary","Kirinyaga","Kagumo","Unknown","Kiria, Kenya","+254 722 334498","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJqXD15Lm9KBgRgFjfZOiVKPI","ChIJqXD15Lm9KBgRgFjfZOiVKPI","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"KAGUMO SECONDARY SCHOOL","Kirinyaga","Kagumo","Public Secondary","Kagumo Secondary School, Witima, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJNWFNL7WLKBgR07Arquu652g","ChIJNWFNL7WLKBgR07Arquu652g","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kamahuha Girls High School","Kirinyaga","Kagio","Girls","44JW+9GM, Saba Saba, Kenya","+254 723 282037","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJm_xMqeivKBgRpndcWqee6EM","ChIJm_xMqeivKBgRpndcWqee6EM","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kamuiru Boys' High School","Kirinyaga","Kutus","Boys","Kagumo - Mutitu Rd, Kenya","","http://www.kamuiruhigh.sc.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJbVvxZ5CAKBgRscBv2a0wHRQ","ChIJbVvxZ5CAKBgRscBv2a0wHRQ","Low","20","Website unreachable; Phone missing","FALSE","missing phone; missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"Kandongu Primary School","Kirinyaga","Mwea","Unknown","Kameichiri, Kenya","+254 725 392135","https://www.kenyaprimaryschools.com/kirinyaga/kandongu-primary-school-mutithi-mwea/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJF5WJwuudKBgRujO4JVvmR_g","ChIJF5WJwuudKBgRujO4JVvmR_g","Medium","40","","FALSE","out of scope: primary school; missing email","","","","","","","","","","","","https://www.kenyaprimaryschools.com/kirinyaga/kandongu-primary-school-mutithi-mwea","","Unknown","2026-07-22"
"Kangaru Girls Secondary School","Kirinyaga","Kianyaga","Girls","Mbeti North, Manyatta, Kenya","+254 68 31300","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJJS6WvHgtJhgRJpOcA6aENas","ChIJJS6WvHgtJhgRJpOcA6aENas","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
